product,category,price,quantity,rating,city,sales_date
Wireless Mouse,Electronics,25.50,150,4.5,New York,2024-01-15
USB-C Hub,Electronics,45.00,200,4.2,San Francisco,2024-01-16
Office Chair,Furniture,299.99,30,4.8,Chicago,2024-01-17
Desk Lamp,Furniture,89.99,75,4.1,New York,2024-01-18
Running Shoes,Sports,129.99,100,4.6,Boston,2024-01-19
Yoga Mat,Sports,29.99,250,4.4,Boston,2024-01-20
Coffee Maker,Kitchen,79.99,60,4.3,Chicago,2024-01-21
Blender,Kitchen,49.99,90,4.0,San Francisco,2024-01-22
Notebook,Stationery,4.99,500,4.7,New York,2024-01-23
Pen Set,Stationery,12.99,350,4.5,Boston,2024-01-24
Backpack,Accessories,59.99,80,4.6,Chicago,2024-01-25
Water Bottle,Accessories,19.99,200,4.3,San Francisco,2024-01-26
Desk Organizer,Stationery,34.99,120,4.2,Boston,2024-01-27
Monitor Stand,Electronics,49.99,65,4.4,New York,2024-01-28
Plant Pot,Home,15.99,180,4.1,Chicago,2024-01-29
Throw Pillow,Home,24.99,140,4.5,San Francisco,2024-01-30
Wall Art,Home,39.99,55,4.3,Boston,2024-01-31
LED Strip,Electronics,29.99,95,4.6,New York,2024-02-01
Bluetooth Speaker,Electronics,79.99,70,4.7,Chicago,2024-02-02
Electric Kettle,Kitchen,34.99,110,4.4,San Francisco,2024-02-03
Sunglasses,Accessories,89.99,45,4.2,Boston,2024-02-04
Winter Jacket,Clothing,149.99,35,4.8,New York,2024-02-05
T-Shirt Pack,Clothing,39.99,200,4.3,Chicago,2024-02-06
Denim Jeans,Clothing,69.99,85,4.5,San Francisco,2024-02-07
Running Shorts,Sports,34.99,160,4.4,Boston,2024-02-08
Dumbbell Set,Sports,199.99,25,4.9,Chicago,2024-02-09
Cookware Set,Kitchen,149.99,40,4.6,New York,2024-02-10
Cutting Board,Kitchen,24.99,130,4.2,Boston,2024-02-11
Wall Clock,Home,29.99,90,4.4,San Francisco,2024-02-12
Area Rug,Home,89.99,20,4.7,Chicago,2024-02-13
Desk Pad,Stationery,14.99,220,4.3,New York,2024-02-14
Sticky Notes,Stationery,6.99,400,4.1,Boston,2024-02-15
Phone Case,Accessories,19.99,300,4.5,Chicago,2024-02-16
Laptop Stand,Electronics,34.99,85,4.8,San Francisco,2024-02-17
Webcam,Electronics,69.99,50,4.4,New York,2024-02-18
Gaming Mouse,Electronics,59.99,65,4.7,Boston,2024-02-19
Mechanical Keyboard,Electronics,129.99,40,4.9,Chicago,2024-02-20
Scented Candle,Home,12.99,280,4.6,New York,2024-02-21
Photo Frame,Home,9.99,320,4.2,San Francisco,2024-02-22
Artificial Plant,Home,22.99,110,4.3,Boston,2024-02-23
Bath Towel Set,Home,44.99,75,4.5,Chicago,2024-02-24
Kitchen Scale,Kitchen,19.99,95,4.1,New York,2024-02-25
Wine Glasses,Kitchen,29.99,60,4.6,San Francisco,2024-02-26
Ice Cream Maker,Kitchen,49.99,30,4.3,Boston,2024-02-27
Tennis Racket,Sports,89.99,35,4.5,Chicago,2024-02-28
Jump Rope,Sports,14.99,180,4.2,New York,2024-03-01
Resistance Bands,Sports,19.99,150,4.4,Boston,2024-03-02
Fitness Tracker,Electronics,99.99,45,4.6,San Francisco,2024-03-03
Wireless Earbuds,Electronics,149.99,55,4.8,Chicago,2024-03-04
Portable Charger,Electronics,39.99,120,4.5,New York,2024-03-05
